normalized,raw,definition_fr
LOUISVILLE,Louisville,"Ville des États-Unis, dans le Kentucky, sur l'Ohio, connue pour sa course hippique, le Kentucky Derby."
LOUVAIN,Louvain,"Ville de Belgique, chef-lieu du Brabant flamand, siège d'une université catholique fondée au XVe siècle."
LOUVRE,Louvre,"Ancien palais royal de Paris, sur la rive droite de la Seine, devenu l'un des plus vastes musées d'art du monde."
LOUYS,Louÿs,"Nom de famille, notamment porté par l'écrivain français Pierre Louÿs, auteur des Chansons de Bilitis et d'Aphrodite."
LOW,Low,"Municipalité de canton du Québec, dans l'Outaouais, au sein de la MRC de La Vallée-de-la-Gatineau."
LOWIES,Lowies,"Nom de famille et prénom masculin d'origine néerlandaise, apparenté à Louis."
LOZERE,Lozère,"1) Département d'Occitanie, le moins peuplé de France, de préfecture Mende. 2) Mont Lozère, point culminant des Cévennes, à 1 699 mètres."
LR,LR,"Sigle des Républicains, parti de droite français héritier de l'UMP, fondé en 2015."
LREM,LREM,"Sigle de La République en marche, parti français fondé en 2016 pour soutenir Emmanuel Macron, devenu Renaissance en 2022."
LUBBON,Lubbon,"Commune française du département des Landes, en Nouvelle-Aquitaine."
LUC,Luc,"1) Auteur traditionnel du troisième Évangile et des Actes des Apôtres, compagnon de Paul. 2) Prénom masculin. 3) Nom de plusieurs petites communes françaises."
LUCAIN,Lucain,"Poète latin du Ier siècle, neveu de Sénèque, auteur de la Pharsale, contraint au suicide par Néron."
LUCANIE,Lucanie,"Région de l'Italie antique, au sud de la péninsule, correspondant à l'actuelle Basilicate et au Cilento."
LUCAS,Lucas,"Prénom masculin, forme latinisée de Luc, également porté comme nom de famille."
LUCERNE,Lucerne,"1) Ville de Suisse centrale, au bord du lac des Quatre-Cantons. 2) Canton alémanique dont elle est le chef-lieu."
LUCHEUX,Lucheux,"Commune française du département de la Somme, dans les Hauts-de-France, dotée d'un château médiéval."
LUCHON,Luchon,"Nom usuel de Bagnères-de-Luchon, station thermale et de montagne de la Haute-Garonne, dans les Pyrénées."
LUCIFER,Lucifer,"Nom donné à l'ange déchu identifié à Satan dans la tradition chrétienne, à partir d'un passage d'Isaïe évoquant l'astre du matin."
LUCON,Luçon,"1) Plus grande île des Philippines, au nord de l'archipel, où se trouve Manille. 2) Commune de Vendée, en Nouvelle-Aquitaine, ancien évêché dont Richelieu fut titulaire."
LUCRECE,Lucrèce,"1) Poète et philosophe latin du Ier siècle avant notre ère, auteur du De rerum natura, exposé de l'atomisme épicurien. 2) Matrone romaine dont le suicide, après un viol, aurait entraîné la fin de la royauté selon la tradition. 3) Prénom, masculin ou féminin."
LULLY,Lully,"1) Jean-Baptiste Lully, compositeur d'origine italienne, maître de la musique à la cour de Louis XIV. 2) Commune de Suisse, dans le canton de Vaud."
LUMEAU,Lumeau,"Commune française d'Eure-et-Loir, en Centre-Val de Loire, dans la Beauce."
LUMME,Lumme,Nom de famille d'origine finlandaise.
LUNEBOURG,Lunebourg,"Ville d'Allemagne, en Basse-Saxe, enrichie au Moyen Âge par le commerce du sel, qui a donné son nom à la lande voisine."
LUNENBURG,Lunenburg,"Ville portuaire et comté de la Nouvelle-Écosse, au Canada, fondés par des colons germanophones au XVIIIe siècle, au vieux centre inscrit au patrimoine mondial."
LURE,Lure,"Commune française de la Haute-Saône, en Bourgogne-Franche-Comté, au pied des Vosges."
LUSACE,Lusace,"Région historique d'Europe centrale, partagée entre l'Allemagne, la Pologne et la Tchéquie, foyer de la minorité slave sorabe."
LUTECE,Lutèce,"Nom antique de l'agglomération gallo-romaine établie sur le site de Paris, chez les Parisii."
LUXEMBOURG,Luxembourg,"1) État d'Europe occidentale, grand-duché membre fondateur de l'Union européenne, et sa capitale homonyme. 2) Province du sud-est de la Belgique. 3) Jardin public du centre de Paris, autour du palais du même nom, siège du Sénat."
LUYNES,Luynes,"1) Ancienne commune d'Indre-et-Loire rattachée à Tours, avec son château. 2) Localité du pays d'Aix et rivière de Provence qui la traverse. 3) Nom d'une maison ducale française issue de Charles d'Albert, favori de Louis XIII."
LUZAC,Luzac,"Hameau de la commune de Saint-Just-Luzac, en Charente-Maritime."
LV,LV,"1) Sigle de la maison de luxe Louis Vuitton. 2) Dans le langage scolaire français, abréviation de langue vivante."
LYCAONIE,Lycaonie,"Région de l'intérieur de l'Asie Mineure, au nord du Taurus, dans l'actuelle Turquie, traversée par saint Paul."
LYCIE,Lycie,"Région montagneuse du sud-ouest de l'Asie Mineure, sur la côte méditerranéenne, dans l'actuelle Turquie, jadis dotée d'institutions fédérales."
LYCOPHRON,Lycophron,"Poète et grammairien grec du IIIe siècle avant notre ère, rattaché à Alexandrie, auteur du poème obscur Alexandra."
LYCOREE,Lycorée,"1) Dans la mythologie grecque, fils d'Apollon. 2) Ancienne bourgade des hauteurs du Parnasse, au-dessus de Delphes."
LYCURGUE,Lycurgue,"Législateur semi-légendaire de Sparte, auquel la tradition attribue les institutions militaires et sociales de la cité."
LYDIA,Lydia,"Prénom féminin, forme latinisée de Lydie."
LYDIE,Lydie,"1) Royaume antique de l'ouest de l'Asie Mineure, réputé pour sa richesse et le roi Crésus, où serait née la monnaie frappée. 2) Marchande de pourpre convertie par saint Paul à Philippes, dans les Actes des Apôtres. 3) Prénom féminin."
LYON,Lyon,"Troisième ville de France, préfecture du Rhône et chef-lieu de la région Auvergne-Rhône-Alpes, au confluent du Rhône et de la Saône."
LYSANDRE,Lysandre,"1) Général et homme d'État spartiate, vainqueur d'Athènes à la fin de la guerre du Péloponnèse en 404 avant notre ère. 2) Prénom mixte."
LYSIAS,Lysias,"Orateur athénien des Ve et IVe siècles avant notre ère, compté parmi les dix orateurs attiques, réputé pour la clarté de ses plaidoyers."
LYSTRE,Lystre,"Cité antique de l'Anatolie centrale, dans l'actuelle Turquie, évangélisée par saint Paul et patrie de son compagnon Timothée."
MAASTRICHT,Maastricht,"Ville du sud des Pays-Bas, chef-lieu de la province du Limbourg, sur la Meuse, où fut signé en 1992 le traité fondant l'Union européenne."
MABILLARD,Mabillard,"Nom de famille d'origine suisse, surtout valaisan."
MACAMIC,Macamic,"Ville du Québec, en Abitibi-Témiscamingue, au sein de la MRC d'Abitibi-Ouest."
MACAYE,Macaye,"Commune française des Pyrénées-Atlantiques, au Pays basque, en Nouvelle-Aquitaine."
MACHHAD,Machhad,"Deuxième ville d'Iran, dans le nord-est du pays, grand lieu de pèlerinage chiite autour du mausolée de l'imam Reza."
MACKINNON,MacKinnon,"Nom de famille écossais d'origine gaélique, rattaché à un clan des Hébrides."
MACROBE,Macrobe,"Écrivain latin du début du Ve siècle, auteur des Saturnales et d'un commentaire du Songe de Scipion."
MACRONIE,Macronie,"Terme journalistique désignant la France sous la présidence d'Emmanuel Macron et, par extension, l'ensemble de ses soutiens."
MADAGASCAR,Madagascar,"Grande île de l'océan Indien, au large de l'Afrique de l'Est, et État qui l'occupe, de capitale Antananarivo."
MADAURE,Madaure,"Cité de l'Afrique romaine, dans l'actuelle Algérie, patrie de l'écrivain Apulée et lieu d'études de saint Augustin."
MADIERE,Madière,"Commune française du département de l'Ariège, en Occitanie."
MADRID,Madrid,"Capitale de l'Espagne, au centre du pays, sur le plateau de la Meseta ; le nom désigne aussi la communauté autonome et la province qui l'entourent."
MAEVA,Maéva,Prénom féminin d'origine polynésienne.
MAGALIE,Magalie,"Prénom féminin d'origine provençale, variante de Magali."
MAGARAT,Magarat,"Lieu-dit porté par deux localités de l'Ariège, à Montseron et à Saint-Girons."
MAGDEBOURG,Magdebourg,"Ville d'Allemagne, chef-lieu de la Saxe-Anhalt, sur l'Elbe, en grande partie détruite pendant la guerre de Trente Ans puis en 1945."
MAGELLAN,Magellan,"Navigateur portugais du XVIe siècle, initiateur de la première circumnavigation du globe, tué aux Philippines avant son achèvement."
MAGHREB,Maghreb,"Ensemble régional du nord-ouest de l'Afrique, entre la Méditerranée et le Sahara, réunissant principalement le Maroc, l'Algérie et la Tunisie."
MAGNENCE,Magnence,"Usurpateur romain du IVe siècle, proclamé empereur après la mort de Constant Ier."
MAGNON,Magnon,Nom de famille français.
MAGOUERY,Magouery,"Lieu-dit de la commune de Saint-Barnabé, dans les Côtes-d'Armor."
MAGOUET,Magouët,"Autre lieu-dit situé sur la commune de Saint-Barnabé, dans les Côtes-d'Armor."
MAHE,Mahé,"1) Petite ville du territoire de Pondichéry, en Inde, ancien comptoir français. 2) Ancien territoire français d'Inde regroupant cette ville et plusieurs localités voisines. 3) Île principale de l'archipel des Seychelles."
MAHMOUD,Mahmoud,Nom de famille et prénom masculin d'origine arabe.
MAHOMET,Mahomet,Nom traditionnellement donné en français au prophète de l'islam.
MAHORE,Mahoré,Autre appellation de l'île de Mayotte.
MAHTAB,Mahtab,Transcription française d'un prénom féminin persan.
MAIF,MAIF,"Sigle de Mutuelle assurance des instituteurs de France, société d'assurance mutuelle française."
MAILHOT,Mailhot,Nom de famille surtout répandu au Canada.
MAISONNEUVE,Maisonneuve,"1) Nom de famille français signifiant littéralement « maison neuve ». 2) Ancien village situé sur l'île de Montréal, au Québec."
MAISSA,Maissa,Variante orthographique du prénom Maïssa.
MAJORQUE,Majorque,"Nom français de Majorque, la plus grande des îles Baléares, en Méditerranée."
MALACHIE,Malachie,Forme française du nom du prophète biblique connu en anglais sous le nom de Malachi.
MALAISIE,Malaisie,"Pays d'Asie du Sud-Est, dont la capitale est Kuala Lumpur."
MALAKOFF,Malakoff,"Commune des Hauts-de-Seine, en banlieue parisienne."
MALARTIC,Malartic,"Ville de la région de l'Abitibi-Témiscamingue, au Québec."
MALDIVES,Maldives,"État insulaire d'Asie du Sud, situé dans l'océan Indien."
MALEBRANCHE,Malebranche,"1) Nom de famille français. 2) Nicolas Malebranche, philosophe français du XVIIe siècle."
MALESHERBES,Malesherbes,"Ancienne commune du Loiret, en région Centre-Val de Loire."
MALLEMORT,Mallemort,"Commune des Bouches-du-Rhône, en Provence-Alpes-Côte d'Azur."
MALLUC,Malluc,"Lieu-dit de la commune de Saleich, en Haute-Garonne."
MALNOE,Malnoë,"Nom porté par plusieurs fermes et hameaux de Bretagne et des Pays de la Loire, notamment à Dingé, Drefféac et Pontchâteau."
MALNOUE,Malnoue,"1) Nom porté par plusieurs fermes et hameaux de l'ouest de la France, notamment en Vendée, en Seine-et-Marne et en Maine-et-Loire, ainsi qu'un quartier d'Aubigny-sur-Nère, dans le Cher. 2) Dans la légende, rivière souterraine malfaisante reliée à la Loire, réputée provoquer inondations et maladies."
MALOU,Malou,Diminutif du prénom féminin Marie-Louise.
MANASSE,Manassé,"Nom porté dans la Bible par un fils de Joseph, éponyme d'une tribu d'Israël, ainsi que par un roi de Juda."
MANAUD,Manaud,"Lieu-dit de la commune de Lorp-Sentaraille, en Ariège."
MANCE,Mance,"1) Village de la commune de Val de Briey, en Meurthe-et-Moselle. 2) Lieu-dit de la commune de Tayrac, en Lot-et-Garonne. 3) Nom de famille français."
MANCEY,Mancey,"Commune de Saône-et-Loire, en Bourgogne-Franche-Comté."
MANCIOUX,Mancioux,"Commune de la Haute-Garonne, en Occitanie."
MANCY,Mancy,"1) Commune de la Marne, dans le canton d'Épernay. 2) Village de la commune de Bettelainville, en Moselle."
MANDCHOUKOUO,Mandchoukouo,"État fantoche créé par le Japon dans le nord-est de la Chine, entre 1932 et 1945."
MANDCHOURIE,Mandchourie,"Région du nord-est de la Chine regroupant historiquement le Liaoning, le Jilin et le Heilongjiang."
MANDEVILLE,Mandeville,"1) Municipalité de la région de Lanaudière, au Québec. 2) Nom de famille."
MANDURIE,Mandurie,"Ville de la province de Tarente, dans les Pouilles, en Italie."
MANICHEE,Manichée,"Nom français de Mani, fondateur perse du manichéisme au IIIe siècle."
MANICOUAGAN,Manicouagan,"Municipalité régionale de comté de la Côte-Nord, au Québec."
MANITOBA,Manitoba,"Province de l'ouest du Canada, dont la capitale est Winnipeg."
MANIWAKI,Maniwaki,"Ville de la région de l'Outaouais, au Québec."
MANTCHOUKOUO,Mantchoukouo,Ancienne orthographe de Mandchoukouo.
MANTCHOURIE,Mantchourie,Ancienne orthographe de Mandchourie.
MANTOUE,Mantoue,"1) Province de Lombardie, en Italie. 2) Ville d'Italie, chef-lieu de cette province."
MARBOIS,Marbois,"Commune de l'Eure, et toponyme fréquent en France."
MARCABRU,Marcabru,Troubadour occitan du XIIe siècle.
MARCADET,Marcadet,Nom de famille français.
MARCAZEAU,Marcazeau,"Cours d'eau affluent du Salat, en Ariège."
MARCEAU,Marceau,"Nom de famille français, porté notamment par le général révolutionnaire François Séverin Marceau."
MARCELLE,Marcelle,"Prénom féminin, équivalent féminin de Marcel."
MARCELLIN,Marcellin,"Prénom masculin, équivalent masculin de Marcelline."
MARCELLINE,Marcelline,"Prénom féminin, équivalent féminin de Marcellin."
MARCHESSAULT,Marchessault,Nom de famille français.
MARCIAC,Marciac,"Commune du Gers, en Occitanie, connue pour son festival de jazz."
MARCOUX,Marcoux,Nom de famille français.
MARDOCHEE,Mardochée,"Personnage biblique, cousin et tuteur d'Esther dans l'Ancien Testament, connu en anglais sous le nom de Mordecai."
MARFAUX,Marfaux,"Commune de la Marne, en Grand Est."
MARIELLE,Marielle,1) Diminutif du prénom Marie. 2) Nom de famille.
MARIEVAL,Marieval,"Hameau de la province de la Saskatchewan, au Canada."
MARIGNAC,Marignac,1) Nom porté par plusieurs petites communes françaises. 2) Nom de famille.
MARILLIER,Marillier,Nom de famille français.
MARIOUPOL,Marioûpol,"Ancienne orthographe de Marioupol, ville portuaire d'Ukraine sur la mer d'Azov."
MARITE,Marité,Diminutif du prénom Marie-Thérèse.
MARJOLENE,Marjolène,"Prénom féminin, variante de Marjolaine."
MARLENE,Marlène,"Prénom féminin d'origine allemande, contraction de Maria Magdalena."
MARLIAC,Marliac,"Commune de la Haute-Garonne, en Occitanie."
MAROIS,Marois,Nom de famille français.
MAROTS,Marots,"Lieu-dit de la commune de Castelbiague, en Haute-Garonne."
MARRAKECH,Marrakech,"Ville du Maroc, capitale de la région de Marrakech-Safi."
MARRONI,Marroni,Nom de famille d'origine italienne.
MARSEILLE,Marseille,"Ville du sud de la France, préfecture des Bouches-du-Rhône et capitale de la région Provence-Alpes-Côte d'Azur."
MARSIQUE,Marsique,"Région historique d'Italie, autour d'Avezzano, dans les Abruzzes."
MARSON,Marson,"Nom porté par plusieurs localités françaises, notamment une commune de la Marne près de Châlons-en-Champagne et un village du Maine-et-Loire près de Saumur."
MARSOUI,Marsoui,"Village de la région de la Gaspésie, au Québec."
MARTHE,Marthe,"1) Personnage biblique, sœur de Marie et de Lazare dans les Évangiles. 2) Prénom féminin qui en est dérivé."
MARVAL,Marval,1) Commune de la Haute-Vienne. 2) Nom de famille français.
MARWAN,Marwan,"Prénom masculin d'origine arabe, porté notamment par deux califes omeyyades."
MARYVONNE,Maryvonne,"Prénom féminin breton popularisé dans les années 1940 et 1950, formé à partir de Marie et d'Yvonne."
MARZOCCHI,Marzocchi,Nom de famille d'origine italienne.
MASCATE,Mascate,"Capitale du sultanat d'Oman, sur le golfe d'Oman."
MASCON,Mascon,"Ancienne orthographe de Mâcon, ville de Saône-et-Loire."
MASCOUCHE,Mascouche,"Ville de la banlieue de Montréal, dans la région de Lanaudière, au Québec."
MASDAR,Masdar,"Ville nouvelle construite près d'Abou Dabi, aux Émirats arabes unis, conçue comme cité durable à faible empreinte carbone."
MASOVIE,Masovie,"Région historique du centre de la Pologne, dont Varsovie est la principale ville."
MASSABRAC,Massabrac,"Commune de la Haute-Garonne, en Occitanie."
MASSALIA,Massalia,Nom antique grec de la ville qui deviendra Marseille.
MASSALIE,Massalie,Autre forme du nom antique grec de la cité qui deviendra Marseille.
MASTODON,Mastodon,"1) Genre de mammifères proboscidiens éteints, proches des éléphants. 2) Réseau social décentralisé et libre, alternatif à Twitter/X."
MATABIAU,Matabiau,"Quartier de Toulouse, en Occitanie, où se trouve la gare centrale de la ville."
MATAM,Matam,"Ville et région du nord-est du Sénégal, sur le fleuve Sénégal."
MATAWINIE,Matawinie,"Municipalité régionale de comté de la région de Lanaudière, au Québec."
MATHIAS,Mathias,"Prénom masculin, variante de Matthias."
MATHIEU,Mathieu,"Prénom masculin, variante orthographique de Matthieu."
MATHIS,Mathis,1) Nom de famille d'origine patronymique. 2) Prénom masculin remis à la mode depuis les années 1990.
MATIGNON,Matignon,"1) Commune des Côtes-d'Armor, en Bretagne. 2) Par métonymie, l'hôtel Matignon, résidence officielle du Premier ministre français, et par extension le gouvernement français."
MATISSOUS,Matissous,"Lieu-dit de la commune de Saint-Lizier, en Ariège."
MATSU,Matsu,"Archipel administré par Taïwan, situé au large des côtes du Fujian, en Chine."
MATTHIAS,Matthias,1) Apôtre choisi pour remplacer Judas Iscariote dans le Nouveau Testament. 2) Prénom masculin qui en est dérivé.
MATTHIEU,Matthieu,"1) Apôtre et évangéliste, auteur traditionnel du premier Évangile. 2) Prénom masculin d'origine biblique qui en dérive."
MATTHIEUSSENT,Matthieussent,Nom de famille rare.
MAUBRESC,Maubresc,"Hameau de la commune de Montjoie-en-Couserans, en Ariège."
MAUD,Maud,"Prénom féminin, variante de Mathilde."
MAUDE,Maude,"Diminutif du prénom Mathilde, variante de Maud."
MAULDRE,Mauldre,Rivière d'Île-de-France coulant dans le département des Yvelines.
MAURETANIE,Maurétanie,"Ancien royaume berbère puis province romaine d'Afrique du Nord, à ne pas confondre avec la Mauritanie actuelle."
MAURICE,Maurice,"1) État insulaire de l'océan Indien, à l'est de Madagascar. 2) Île principale de ce pays. 3) Prénom masculin, équivalent français de Morris."
MAURICETTE,Mauricette,"Prénom féminin, diminutif féminin de Maurice."
MAURICIE,Mauricie,"Région administrative du Québec, centrée sur la vallée de la rivière Saint-Maurice."
MAURITANIE,Mauritanie,"Pays d'Afrique de l'Ouest, dont la capitale est Nouakchott."
MAURUSIE,Maurusie,"Autre nom antique de la Maurétanie, région d'Afrique du Nord."
MAUSOLE,Mausole,"Satrape de Carie du IVe siècle av. J.-C., dont le tombeau, l'une des sept merveilles du monde antique, a donné son nom au mot « mausolée »."
MAUZE,Mauzé,"1) Ancien nom de Mauzé-sur-le-Mignon, commune des Deux-Sèvres. 2) Ferme de la commune de Torcé, en Ille-et-Vilaine."
MAXENCE,Maxence,"1) Empereur romain du début du IVe siècle, rival de Constantin. 2) Prénom mixte, porté aussi bien par des hommes que par des femmes."
MAXIMILIENNE,Maximilienne,"Prénom féminin, équivalent féminin de Maximilien."
MAXIMILLIENNE,Maximillienne,Variante orthographique du prénom Maximilienne.
MAYAPAN,Mayapan,"Cité maya précolombienne du Yucatán, capitale politique de la région entre le XIIIe et le XVe siècle."
MAYENCE,Mayence,"Nom français de Mayence (Mainz), ville allemande, capitale de la Rhénanie-Palatinat."
MAYOTTE,Mayotte,"Archipel de l'océan Indien, entre l'Afrique et Madagascar, constituant un département et une région d'outre-mer français."
MAZAMET,Mazamet,"Commune du Tarn, en Occitanie."
MAZARS,Mazars,Nom de famille d'origine occitane.
MAZINGARBE,Mazingarbe,"Commune du Pas-de-Calais, dans les Hauts-de-France."
MBOKO,Mboko,"1) Nom de famille africain. 2) Toponyme porté par plusieurs localités d'Afrique centrale, notamment au Cameroun, en République centrafricaine et en République du Congo."
MBOPPI,Mboppi,1) Nom de famille. 2) Toponyme porté par plusieurs localités du Cameroun.
MBORO,Mboro,"Commune du département de Tivaouane, au Sénégal."
MBOUR,Mbour,Ville côtière de l'ouest du Sénégal.
MCKINNON,McKinnon,Nom de famille d'origine écossaise gaélique.
MCMANIMAN,McManiman,Nom de famille d'origine irlandaise.
MCMASTERVILLE,McMasterville,"Ville de la Montérégie, au Québec."
MCWATTERS,McWatters,"Ancienne municipalité, aujourd'hui quartier de Rouyn-Noranda, en Abitibi-Témiscamingue, au Québec."
MECKHE,Meckhe,Ville du centre-nord du Sénégal.
MEDEE,Médée,"Figure de la mythologie grecque, magicienne petite-fille du Soleil, qui aida Jason à conquérir la Toison d'or."
MEDOR,Médor,"Nom de chien typique, souvent utilisé de façon stéréotypée en français comme l'est « Rex » ou « Fido » en anglais."
MEDYKA,Medyka,Village polonais situé à la frontière avec l'Ukraine.
MEGARA,Mégara,"1) Ville de l'Attique, en Grèce. 2) Quartier antique de Carthage, près de l'actuelle La Marsa, en Tunisie. 3) Dans la mythologie, fille de Créon et première épouse d'Héraclès."
MEGARE,Mégare,"1) Ville de l'Attique, en Grèce. 2) Quartier antique de Carthage, près de l'actuelle La Marsa, en Tunisie."
MEGEVE,Megève,"Station de sports d'hiver de Haute-Savoie, en Auvergne-Rhône-Alpes."
MEKINAC,Mékinac,"Municipalité régionale de comté de la Mauricie, au Québec."
MELANESIE,Mélanésie,"Sous-région continentale de l'Océanie regroupant notamment la Nouvelle-Guinée, les îles Salomon, le Vanuatu, les Fidji et la Nouvelle-Calédonie."
MELANIPPE,Mélanippe,"1) Prénom masculin, forme française de Mélanippos. 2) Prénom féminin homonyme."
MELBOURNE,Melbourne,"Ville d'Australie, capitale de l'État de Victoria et ancienne capitale fédérale du pays."
MELCHISEDEK,Melchisédek,"Roi et prêtre biblique, contemporain d'Abraham, mentionné dans la Genèse."
MELITENE,Mélitène,Nom antique de la ville turque de Malatya.
MEMPHREMAGOG,Memphrémagog,"Municipalité régionale de comté de la région de l'Estrie, au Québec."
MENANDRE,Ménandre,"Auteur comique grec du IVe siècle av. J.-C., figure majeure de la Comédie nouvelle."
MENEDEME,Ménédème,"Philosophe grec du IVe-IIIe siècle av. J.-C., fondateur de l'école d'Érétrie."
MENILMONTANT,Ménilmontant,"Quartier de l'est de Paris, dans le 20e arrondissement."
MENKAO,Menkao,Ville de la République démocratique du Congo.
MERCADIE,Mercadié,"Lieu-dit de la commune de Saint-Maurin, en Lot-et-Garonne."
MERCIE,Mercie,Ancien royaume anglo-saxon du centre de l'Angleterre.
MERDANCON,Merdançon,"1) Cours d'eau affluent du Salat, en Ariège. 2) Cours d'eau affluent de la Tave, dans le Gard. 3) Ancien nom du Verdanson, cours d'eau de l'Hérault."
MERIDA,Mérida,"1) Ville d'Espagne, dans la province de Badajoz, en Estrémadure. 2) Ville du Mexique, capitale de l'État du Yucatán, nommée d'après la précédente. 3) Ville du Venezuela, capitale de l'État homonyme."
MERIGNAC,Mérignac,"Commune de la Gironde, en Nouvelle-Aquitaine, dans l'agglomération bordelaise."
MERIGON,Mérigon,"Commune de l'Ariège, en Occitanie."
MEROVEE,Mérovée,"Chef franc semi-légendaire du Ve siècle, considéré comme l'ancêtre éponyme de la dynastie mérovingienne."
MESCHACEBE,Meschacébé,"Ancienne appellation française du fleuve Mississippi, d'après son nom amérindien."
MESIE,Mésie,"Province romaine des Balkans, correspondant approximativement à la Serbie et à la Bulgarie actuelles."
MESNAY,Mesnay,"Commune du Jura, en Bourgogne-Franche-Comté."
MESOAMERIQUE,Mésoamérique,Région culturelle précolombienne s'étendant du centre du Mexique à l'Amérique centrale.
MESOPOTAMIE,Mésopotamie,"1) Région historique du Proche-Orient, entre les fleuves Tigre et Euphrate, berceau de plusieurs civilisations antiques. 2) Ancienne province de l'Empire romain qui en tirait son nom."
MESSENIE,Messénie,"Région historique du sud-ouest du Péloponnèse, en Grèce."
MESTRANTONI,Mestrantoni,"Lieu-dit de la commune de Brassac, en Tarn-et-Garonne."
METZ,Metz,"Ville de l'est de la France, préfecture du département de la Moselle."
MEURTHE,Meurthe,"Rivière du Grand Est, affluent de la Moselle."
MEUSE,Meuse,1) Fleuve prenant sa source en France et traversant la Belgique et les Pays-Bas avant de rejoindre la mer du Nord. 2) Département français du Grand Est qui en tire son nom.
MEXICO,Mexico,1) Capitale du Mexique. 2) État du Mexique qui en tire son nom.
MEXIQUE,Mexique,"Pays d'Amérique du Nord, dont la capitale est Mexico."
MEYERFELD,Meyerfeld,Nom de famille.
MHNM,MHNM,Sigle du Muséum d'histoire naturelle de Marseille.
MIAMI,Miami,"Ville de Floride, aux États-Unis."
MICHAELE,Michaële,Variante orthographique du prénom Michaëlle.
MICHAELLE,Michaelle,Autre variante orthographique du prénom Michaëlle.
MICHEE,Michée,"Prophète biblique de l'Ancien Testament, auteur du livre qui porte son nom."
MICHEL,Michel,"1) Archange mentionné dans plusieurs traditions religieuses, notamment comme chef des armées célestes. 2) Prénom masculin d'origine biblique qui en dérive. 3) Nom de famille d'origine patronymique."
MICHELE,Michèle,"Prénom féminin, équivalent féminin de Michel."
MICHELLE,Michelle,"Prénom féminin devenu populaire dans les années 1940, équivalent féminin de Michel."
MICHIGAN,Michigan,"État du nord des États-Unis, bordé par les Grands Lacs."
MICKAEL,Mickaël,Variante orthographique du prénom Michaël.
MICRONESIE,Micronésie,"1) Sous-région de l'Océanie regroupant environ deux mille petites îles du Pacifique nord-occidental. 2) Pays composé d'une partie de ces îles, officiellement les États fédérés de Micronésie."
MICULEK,Miculek,Nom de famille.
MIDOL,Midol,1) Nom de famille. 2) Surnom du journal sportif français Midi Olympique.
MIDORI,Midori,"Prénom mixte d'origine japonaise, signifiant « vert »."
MIFEPRISTONE,mifépristone,"Molécule utilisée en médecine comme antiprogestatif, notamment dans l'interruption médicamenteuse de grossesse."
MIGLOS,Miglos,"Commune de l'Ariège, en Occitanie."
MIJANES,Mijanès,"Commune de l'Ariège, en Occitanie."
MIKHAILOV,Mikhaïlov,"Transcription française d'un nom de famille slave, dérivé du prénom Michel."
MILHOUSE,Milhouse,"Ancienne orthographe de Mulhouse, ville du Haut-Rhin."
MILLAU,Millau,"Commune de l'Aveyron, en Occitanie, connue pour son viaduc autoroutier."
MILTIADE,Miltiade,"Général athénien du Ve siècle av. J.-C., vainqueur de la bataille de Marathon."
MINECRAFT,Minecraft,"Jeu vidéo de construction en blocs, l'un des plus vendus de l'histoire du jeu vidéo."
MINGANIE,Minganie,"Municipalité régionale de comté de la Côte-Nord, au Québec."
MINORQUE,Minorque,"Île des Baléares, en Méditerranée, au nord-est de Majorque."
MINSK,Minsk,Capitale et plus grande ville de la Biélorussie.
MINUSTAH,MINUSTAH,"Sigle de la Mission des Nations unies pour la stabilisation en Haïti, opération de maintien de la paix déployée de 2004 à 2017."
MIQUELON,Miquelon,"Île de la collectivité française de Saint-Pierre-et-Miquelon, au large du Canada."
MIRABEAU,Mirabeau,"1) Nom de famille, porté notamment par l'orateur révolutionnaire Honoré-Gabriel Riqueti de Mirabeau. 2) Commune des Alpes-de-Haute-Provence. 3) Commune du Vaucluse."
MIRABEL,Mirabel,"Ville de la région des Laurentides, au Québec."
MIRELOUP,Mireloup,"Lieu-dit de la commune de Caumont, en Ariège."
MIREPECH,Mirepech,"Cours d'eau affluent du Rucan, en Haute-Garonne."
MIRERENI,Mirereni,"Village de la commune de Tsingoni, à Mayotte."
MIREVAL,Mireval,"1) Commune de l'Hérault, en Occitanie. 2) Nom de famille français."
MIRYAM,Miryam,"1) Sœur de Moïse et d'Aaron dans la Bible. 2) Prénom féminin qui en dérive, plus souvent orthographié Myriam."
MISENE,Misène,"Site antique et actuelle localité de la baie de Naples, en Italie, connu sous le nom latin de Misenum."
MISSILLAC,Missillac,"Commune de la Loire-Atlantique, en Pays de la Loire."
MISSOURI,Missouri,État du centre des États-Unis.
MIZRAHI,Mizrahi,"Nom de famille d'origine hébraïque, désignant à l'origine les juifs d'Orient."
MLF,MLF,"Sigle du mouvement de libération des femmes, courant féministe français apparu à la fin des années 1960."
MN,MN,"Abréviation de Marine nationale, la marine de guerre française."
MNAM,MNAM,"Sigle du Musée national d'Art moderne, institution intégrée au Centre Pompidou, à Paris."
MOCCHI,Mocchi,Nom de famille d'origine italienne.
MODENE,Modène,"1) Province de la région d'Émilie-Romagne, en Italie. 2) Ville qui en est le chef-lieu."
MODLAREUTH,Mödlareuth,"Village allemand partagé entre la Bavière et la Thuringe, surnommé « la petite Berlin » pour avoir été coupé en deux par le rideau de fer."
